gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
-0.5382043737918139	-0.7318169774953276	0.0	0.0	-0.1936507670525962	0.12882412283804462	0.32859278603669845	0.0	-0.37096670085834815	0.0
-0.900955255376175	0.0	0.0	0.0	0.0	0.0	0.0	0.8004934796306671	0.0	0.0
-0.3662165366113186	0.0	-0.8757330374792218	0.0	0.0780407347864902	0.0	0.0	0.19923416098462354	0.0	0.0
0.0	0.0	-0.9039144343696535	0.0	0.0	0.0	0.7506769163834736	0.4583089779305638	0.0	0.0
-0.20971294329501688	0.0	0.0	-0.994567645015195	0.0	0.0	0.7612166578716472	0.0	0.0	0.0
-0.12388458079658449	0.0	-0.21250352333299816	0.0	-0.21598838463803172	0.0	0.0	0.9306576402566762	0.0	0.0
-0.1457411574665457	-0.021624808199703693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9728922920996176
0.0	-0.14814192452467978	0.0	0.0	0.006647376963818674	0.5266407147341614	0.0	0.0	-0.06268815977769449	0.05042869157584777
-0.9474500911310315	0.0	-0.040205099154263735	-0.844087130157277	0.0	0.0	0.0	0.0	-0.36591893506506934	0.0
-0.2936189903412014	-0.6689591528847814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.5101649546995759	0.0	0.0	0.1382502467663233	0.0	0.6508195792965026	0.0	0.28250216694975666
0.0	-0.5986740025691688	-0.8919843637850136	0.0	0.0	0.9771613540419584	0.7505152217878833	0.0	0.0	0.0
-0.3757480897475034	-0.6916543124243617	-0.56235232623294	0.0	0.28158540317411185	0.0	0.25407882168170653	0.11431529970722211	0.0	0.0
0.0	0.0	0.0	-0.5446990472264588	-0.4758497982603067	0.9069751288102215	0.0	0.4208738234999956	0.4284602117045735	0.21612342891710273
-0.7575398583430797	-0.5238332238513976	0.0	0.0	0.0	0.016854684456551534	0.0	0.0	-0.11393705617907002	0.40365355394276253
0.0	0.0	0.0	-0.11204985319636762	0.0	0.7211528428656255	0.0	0.0	0.00545957682383702	0.0
0.0	0.0	-0.9101379204075783	0.0	-0.19610456245397567	0.21275410790119514	0.2999008988796606	0.33822319998288464	0.0	0.4160817230814921
-0.07244975143112242	0.0	-0.14432673179544508	0.0	0.0	0.4457673056808506	0.379396987084566	0.8506911214615585	-0.27131258419054105	0.0
0.0	-0.1557535936590284	0.0	-0.3420458068139851	0.0	0.0	0.0	0.7461511056579084	-0.4327014438089962	0.0
0.0	-0.9492050358094275	-0.09982979763299227	0.0	0.0	0.0	0.0	0.01321702745625687	0.0	0.0
0.0	0.0	-0.4189506913535297	0.0	0.0	0.0	-0.02255647542673505	0.8209827301732631	0.11263404295509205	0.0
-0.7685559664387256	0.0	0.0	-0.4607107003685087	0.0	0.0	0.359733124433352	0.026406348840090757	0.0	0.0
-0.5080523318611085	0.0	0.0	0.0	-0.2235007468462491	0.0	0.43321601108860813	0.0	0.0	0.7979774757051693
-0.5098573493305594	-0.44279256882146	0.0	0.0	-0.16279446737286984	0.6693362625141834	0.0	0.3805705401289643	0.0	0.0
0.0	0.0	-0.576045902678743	-0.6457533522043377	0.0	0.42514439894009576	0.9207526975612029	0.0	0.0	0.0
-0.9897642317228019	0.0	0.0	-0.19189492193982005	0.0	0.0	0.0	0.0	0.0	0.32558941680433623
0.0	-0.48560215067118406	0.0	0.0	0.0	0.0	0.0	0.10712854486772729	-0.4559442340609665	0.0
0.0	0.0	-0.42367357248440385	0.0	0.0	0.7343925637019073	0.0	0.10991172810899032	0.0	0.0
0.0	-0.6437466314528137	0.0	0.0	-0.10972263043192565	0.46731882135506914	0.7268981888725295	0.06465157835626913	0.0	0.0
0.0	0.0	0.0	-0.5652110057417303	-0.09627795762759983	0.9733465845988338	0.0	0.0	0.3175919849677895	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.1645841334781482	0.0	0.0	0.145968336634882
