hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
0.8347140415142591	0.0	0.0	0.0	0.0	0.0	0.04717527240737579	0.0	0.0	0.0	0.730268009261893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08770362878965399	0.29475249108682094
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015547507209250577	-0.4020678376446141	0.0	0.0	0.0743146512337276	0.0	-0.04533964521067402	0.0
0.2737353823184337	0.0	-0.7389352119062096	0.0	0.0	0.9838785750579669	0.5672717071533133	0.0	0.0	0.0	0.0	0.0	0.28398639382749225	0.0	0.0	0.0	0.294727469250212	0.0	0.0	0.0
0.0	-0.26956185116432607	-0.7919783045072109	0.0	0.0	0.0	0.0	0.1791811785173948	0.0	0.0	0.2996296368294525	0.0	0.7191352406512144	0.0	0.6885977901029651	0.0	0.0	0.5564818012808878	-0.26790175153689644	0.23174122433001815
0.0	-0.08445716043934226	-0.5030027464963496	0.0	-0.06308922539673723	0.3385675607968703	0.0	0.0	-0.0856185953829276	0.3719663948308764	0.0	0.0	0.0	0.0	0.0	0.0	-0.36060052000393483	0.0	0.0	0.8024190274608385
0.0	-0.6904200429562479	-0.5314498762600124	0.0	0.0	0.7626138562590464	0.8759234049752285	0.0	-0.30812944893239314	0.0	0.0559137929451781	0.0	0.3319353240071925	-0.09104218484299614	0.0	0.0	0.0	0.0	0.0	0.0
0.4642289834599312	-0.24914519162848592	-0.16707233781926334	0.0	0.07510346085555875	0.13528221312655359	0.0	-0.12327489843802797	-0.04952912221176797	0.0	0.0	0.0	0.5256190004288348	0.0	0.0	0.0	0.2644348544214168	0.0	0.0	-0.02864610482183577
0.0	-0.9822893405798823	0.0	0.0	0.0	0.0	0.0	0.0	-0.09164573370924467	0.03069852991254013	0.0	0.0	0.0	0.0	0.0	0.8761228728565835	0.3765268841903904	0.0	0.0	0.0
0.0	-0.3416900208685547	0.0	-0.9891197923570871	0.0	0.3760732717600301	0.0	0.0	0.0	0.9285749441500841	0.0	0.0	0.31118984403974737	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8462444950863088	-0.19041846366599202	0.0	0.0	0.20162620679266774	0.9864174505018278	0.0	0.0	0.0	0.0	0.5108563879259991	0.0	0.0	0.391636526571341	0.9738634143932973	0.0	-0.46239509045553717	0.32238946094191256	0.0	0.0
0.0	-0.364359698491171	-0.08210796094499528	0.0	0.24659777902789437	0.0	0.0	-0.1839633994291191	0.2556600316662503	0.004644766452172211	0.0	0.931600496990806	0.8804752952414694	0.0	0.0	0.0	-0.1167165512073538	0.9158632877097893	0.0	0.0
0.33636856214509564	-0.5849584508687258	-0.7521166109945625	0.0	0.0	0.0	0.5288273960281094	0.3601057962027724	0.0	0.0	0.0	0.8784959054349126	0.0	-0.16461161907228067	0.28925926298604054	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.40827196557074785	0.0	0.09038393039001373	0.0	0.0	0.0	0.0	0.19695714933212274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17676671422270873	0.0
0.0	-0.0876898851711303	-0.13974967924878	0.0	0.41054885978601896	0.0	0.0	-0.06199204670476066	0.0	0.568749058761084	0.0	0.0	0.0	0.27476867952918277	0.0	0.0	-0.27571176908386263	0.0	0.0	0.2709818900638324
0.0	0.0	-0.8086985896807164	0.0	-0.4555788482094554	0.5627662288278922	0.403712951617681	0.0	-0.42354647235458964	-0.006305225656917879	0.0	0.3578613972088458	0.0	0.3009447822214441	0.2421928449976508	0.0	0.0	0.8400510729571301	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.6015206021510645	0.7759651819173177	0.4201991804388697	0.5140462293990118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.020043982468608446	-0.20312364329583943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2557052918705287	-0.3551516987981869	0.0	0.9667239780995511	-0.5391704040433964	0.0	0.0	0.0
0.0	0.0	-0.5058266203850508	0.0	0.0	0.15463009455917626	0.0	0.0	0.3195791214008046	0.0	0.22421725422489816	0.0	0.9463454300998839	0.0	0.0	0.0	-0.19306655259278926	0.4422889545840639	-0.49308621915804407	0.34026812450783966
0.6943884123619015	0.0	-0.7033990416675806	0.0	-0.478134178279191	0.0	0.17225446742250822	0.0	0.0	0.6594396887835203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.7227635539602488	0.0	-0.8368144200649112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09203512957089287	0.06640668683606024	0.2088270440377542	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.528791708590218	0.34598068401703364	0.5844039015960036	0.0	-0.009492720590704516	0.0	0.34403847380144165	0.0	0.0	0.0	0.0	0.0	0.3780247840640199
0.7454383587035651	0.0	-0.5753581391181797	0.0	0.0	0.0	0.0	0.0	0.0	0.5721217698905705	0.0	0.03955128754322843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20732098762700973
0.0	0.0	-0.2498339933808893	0.0	0.05480931680440926	0.8654879150234743	0.0	0.0	0.0	0.0	0.0	0.0	0.8420773185785058	-0.23465143480735257	0.7420958763896738	0.0	-0.1682579932588837	0.3092459031195808	0.0	0.21920661526555835
0.0	-0.17355034849606454	0.0	0.0	0.0	0.2553989095867261	0.0	0.0	0.0	0.3382671540625481	0.0	0.9607292908506604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31629246985764187	0.6775145349313634	0.0	0.0	0.0	0.0	0.3430888939640933	0.0	0.8598864330725241	-0.5129119908418711	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.25656372312679193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5251142653163039	0.0	0.0	0.0	0.0
0.0	0.0	-0.5329419616609812	0.0	0.0	0.0	0.0	0.0	-0.1356665776341992	0.0	0.0	0.0	0.0	0.416593103097506	0.0	0.0	0.0	0.0	0.2251243453025613	0.0
0.0	0.0	-0.9479416431859136	0.0	-0.07629349916450656	0.0	0.020758553913228728	0.0	0.0	0.0	0.35618068862120983	0.15242584434171633	0.0	-0.11278967802809908	0.0	0.5290443865108752	-0.3286471430532387	0.0	-0.025774428945055217	0.5895087368861835
0.0	0.0	-0.13597078737802804	0.0	0.0	0.0	0.26430719675719044	0.0	-0.3675550995625394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.12300910679989713	0.0	-0.5845540380105376	-0.6576195622328669	0.08897102139681601	0.0	-0.06801214111746051	0.0	0.0	0.0	0.0	0.34033795807344336	0.0	0.0	0.0	0.0	-0.45037236188945684	0.0	0.0	0.3271094776299846
0.0	-0.8196914056316018	0.0	0.0	0.0	0.7533709691160008	-0.031937639189518474	0.0	0.0	0.0	0.0	0.0	0.3361380279525312	0.493875357448809	0.0	0.6440717967219167	0.0	0.1876943133120853	0.0	0.0
0.5029915687199051	-0.019823827082291245	0.0	-0.8696492244489491	-0.034369024403616555	0.0	0.0030184856545110716	0.0	0.0	0.09612954361588638	0.9511434515227692	0.0	0.44392307219050253	0.0	0.0	0.4366624360430503	0.0	-0.010303783388672449	0.21631948617471197	0.0
0.0	-0.5078870602883399	0.0	0.0	0.14816816062457883	0.0	0.0	-0.19749360606285082	0.35075550733620053	0.0	0.0	0.0	0.3445104137058499	0.0	0.0	0.0	0.0	0.0	0.39210647614856997	0.2314889444113773
0.0	-0.7355524506419897	0.0	0.0	0.4916646662613007	0.0	0.6765970378577639	0.0	0.0	0.0	0.0	0.8461474321114035	0.0	0.0	0.6074294360797171	0.7980908982447796	0.0	0.6924740246777851	-0.5742564269788768	0.0
0.0	-0.3832401758991182	-0.3705301834270358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39704956137529934	-0.32304133066373303	0.37456646132983906	0.0	0.0	0.0	-0.4485733763762023	0.0
0.0	0.0	-0.3062502848915756	0.0	0.0	0.0	0.22480403682439826	0.0	0.0	0.0	0.057004372378544756	0.6518106536271187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21187504488798498
0.0	0.0	-0.35262704035267234	-0.2752777023706585	0.0	0.0	0.6549254865780403	0.0	0.0	0.6581424307100563	0.9209165626892017	0.12463086645883933	0.3393121641124728	-0.24988184763515725	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.9765286231413484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07604734264083844	0.0	0.0	0.0	0.0	0.0
0.05809494755597072	0.0	0.0	-0.2832819011528045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5549293599354239	0.0	0.0	0.0	0.0	-0.5322632529627285	0.4317094400340188	0.0	0.0
0.0	0.0	-0.7624815225135535	0.0	0.0	0.5431251977824255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
